[50,20]
[-72.42512963951124, 177.74466441526357]
[-55.649690655572954, -287.52362000886745]
[114.6975521481744, 8.168371646689737]
[-42.37228732426371, -144.43619642846068]
[-17.78710198797285, 125.83669961793915]
[-19.24261684526922, -13.783827542530695]
[79.93303776200285, 2.656121588867471]
[46.74810785314003, -77.16451126402318]
[65.68597538268182, 18.87315300737382]
[28.15835420911216, -73.49620794656846]
[118.58974067847801, -36.479768231260174]
[-32.55341345794928, -10.079085649459872]
[4.896239303561206, -23.49849754558683]
[34.64389001274706, 57.100018284901864]
[-58.36235892847749, 9.649483526673025]
[-40.71880496044204, -18.993642563743755]
[-5.941164660667561, 33.56708262110282]
[1.9973017906525876, -44.75088413624594]
[14.202110650036083, -19.175402279873698]
[8.730900055038767, -45.298900739726406]
[17.77392440323302, 0.4389578971632393]
[31.869298767163436, -18.685959891870795]
[-13.421431462114022, -36.44900304905664]
[25.91357444074723, 11.235526977103401]
[17.73152917449388, -17.4695955638047]
[0.9166611572518959, 16.4047795809379]
[-4.4061756181307805, 7.731274055304084]
[13.995653116674537, -31.98329215871535]
[-8.176223694163134, -23.190046038246116]
[-16.713828584084236, -2.1980357094786767]
[-6.022479930367643, 21.16304012854575]
[29.16155811031551, 24.403063107360385]
[19.539162431901524, -27.38417546900081]
[5.5773357735159514, 0.8553665612167116]
[-1.527792187477406, -6.444064216851425]
[-21.615265985111527, 7.541721109666415]
[3.1674971318487435, 6.598531460928565]
[-0.03451361736493182, 2.4820257718415424]
[13.613450572866185, -2.6478680266053063]
[-2.4457179977237398, 15.211636167280409]
[-1.0970818318994182, 3.3535483047649786]
[-12.194924192629196, -3.0753886529147483]
[-14.757869583741027, 2.3357645705998817]
[7.354461924882552, -13.76025169921828]
[-0.5228054281708501, 1.0025276758379233]
[-5.486620124449386, -8.494945041771317]
[-6.031262561465036, -0.07521547523972646]
[4.350061424104954, -1.1889382658900307]
[-0.5265274686396131, -0.3405887615987068]
[0.5497026458627267, -25.68029273703983]
[4.95657400786156, -9.486170812464174]
[3.6372023188027636, -1.7011347263502699]
[-11.29035991375087, -16.106111897637625]
[-6.384643887159977, 5.823816211801751]
[-8.19612979294741, 0.5827205245294809]
[0.6240796517690297, -5.006550228653005]
[8.020842683960742, -4.245603755963594]
[11.968582698725774, -6.725512731951876]
[-8.370700044968272, -5.569925592663106]
[-5.576112343298526, -5.285464940076669]
[-1.5946446752664298, -1.286854564061215]
[-3.78093522324186, -2.922246755891402]
[8.18492272589134, 2.415446843225265]
[0.6611790206813751, -6.306009458619123]
[-3.90724576883716, 8.050126689794121]
[-8.164512587790814, -7.926685015831284]
[2.4209558643644074, -3.4519231445382967]
[3.983301948787669, 0.10369386156090862]
[-0.07768135995991182, 9.47752586355977]
[-0.18026071480048006, -2.541267386358844]
[2.188054851960981, -6.538988641794427]
[11.232603931414797, 0.31770558896750645]
[3.2038227028398336, -3.260668595766096]
[3.8026861582915368, 3.954410678707501]
[-2.5323260028889862, 0.3921532560158154]
[3.6975643014732213, -0.8315634160739114]
[-3.5491385153522796, 7.288534942079955]
[15.024296245936707, 7.67647468907035]
[7.131467799478893, 6.658525977221395]
[0.7231762047617344, -6.567364460092884]
[-3.335400424477992, 0.9043406365062356]
[-2.1232668129699026, 9.749544455791568]
[-2.67649012544004, -3.8093694409260364]
[-2.0408554401484524, 2.0128958894439832]
[-8.428507685130892, 0.6583434866677637]
[-4.795139722053224, -3.826173909702741]
[-0.5956782612046506, 6.424364766187319]
[-6.413000920377941, 7.305327606190713]
[4.961193422701488, -9.532350708795546]
[6.082095555923663, -3.6869936784302517]
